borough_id,nbhd,name,transaction_volume,property_count,average_sale_price,year
3,PROSPECT HEIGHTS,Brooklyn,183,129,1482388.475,2015
4,QUEENS VILLAGE,Queens,412,356,418707.6019,2015
3,RED HOOK,Brooklyn,23,22,1277739.13,2015
4,REGO PARK,Queens,531,244,444357.7533,2015
4,RICHMOND HILL,Queens,453,435,562413.1611,2015
5,RICHMONDTOWN,Staten Island,52,52,558138.1731,2015
5,RICHMONDTOWN-LIGHTHS HILL,Staten Island,5,5,1029889,2015
4,RIDGEWOOD,Queens,311,302,998426.6238,2015
2,RIVERDALE, Bronx,563,201,636050.3499,2015
4,ROCKAWAY PARK,Queens,90,74,481327.9222,2015
5,ROSEBANK,Staten Island,148,140,648457.7297,2015
4,ROSEDALE,Queens,248,227,407142.2581,2015
5,ROSSVILLE,Staten Island,114,113,401900.4123,2015
5,ROSSVILLE-CHARLESTON,Staten Island,39,38,891353.6667,2015
5,ROSSVILLE-PORT MOBIL,Staten Island,5,5,3627421.6,2015
5,ROSSVILLE-RICHMOND VALLEY,Staten Island,6,6,499458.3333,2015
2,SCHUYLERVILLE, Bronx,168,148,683678.3333,2015
2,PELHAM BAY, Bronx,168,148,683678.3333,2015
3,SEAGATE,Brooklyn,44,42,482468.1818,2015
3,SHEEPSHEAD BAY,Brooklyn,556,374,533225.2824,2015
5,SILVER LAKE,Staten Island,50,50,454929.92,2015
4,SO. JAMAICA-BAISLEY PARK,Queens,388,353,350414.1443,2015
1,SOHO,Manhattan,191,156,8485640.843,2015
2,SOUNDVIEW, Bronx,243,212,638387.3086,2015
5,SOUTH BEACH,Staten Island,111,109,437784.7117,2015
4,SOUTH JAMAICA,Queens,337,307,450917.7745,2015
4,SOUTH OZONE PARK,Queens,286,268,451779.4301,2015
1,SOUTHBRIDGE,Manhattan,63,45,2965954.905,2015
4,SPRINGFIELD GARDENS,Queens,368,338,585886.3587,2015
4,ST. ALBANS,Queens,390,354,370987.9846,2015
5,STAPLETON,Staten Island,74,72,349020.8243,2015
5,STAPLETON-CLIFTON,Staten Island,30,29,355156.9,2015
4,SUNNYSIDE,Queens,199,129,929600.6734,2015
5,SUNNYSIDE,Staten Island,43,42,471471.4419,2015
3,SUNSET PARK,Brooklyn,380,357,1138961.995,2015
2,THROGS NECK, Bronx,186,182,470192.414,2015
5,TODT HILL,Staten Island,19,19,1368500,2015
5,TOMPKINSVILLE,Staten Island,39,36,378107.4359,2015
5,TOTTENVILLE,Staten Island,145,141,592733.3379,2015
5,TRAVIS,Staten Island,61,59,490241.9672,2015
