borough_id,region_name,name,transaction_volume,property_count,average_sale_price
2,CO-OP CITY,Bronx,4,3,4113250
3,COBBLE HILL,Brooklyn,90,81,2470886.578
3,COBBLE HILL-WEST,Brooklyn,49,48,1322235.163
4,COLLEGE POINT,Queens,260,257,1116938.508
5,CONCORD,Staten Island,78,72,364132.8462
5,CONCORD-FOX HILLS,Staten Island,29,28,383797.931
3,CONEY ISLAND,Brooklyn,197,109,1065760.168
4,CORONA,Queens,394,298,850533.6244
2,COUNTRY CLUB,Bronx,143,133,541261.7622
2,CROTONA PARK,Bronx,41,39,1000522.854
3,CROWN HEIGHTS,Brooklyn,472,433,1686921.674
3,CYPRESS HILLS,Brooklyn,204,196,722641.4608
5,DONGAN HILLS,Staten Island,55,52,626553.4545
5,DONGAN HILLS-COLONY,Staten Island,43,43,822374.907
5,DONGAN HILLS-OLD TOWN,Staten Island,1,1,7200000
4,DOUGLASTON,Queens,163,105,667028.8221
3,DOWNTOWN-FULTON FERRY,Brooklyn,92,88,2937680.826
3,DOWNTOWN-FULTON MALL,Brooklyn,142,119,1636304.782
3,DOWNTOWN-METROTECH,Brooklyn,89,55,3411152.539
3,DYKER HEIGHTS,Brooklyn,163,161,1165105.81
4,EAST ELMHURST,Queens,147,136,783161.6599
3,EAST NEW YORK,Brooklyn,645,599,689742.1023
2,EAST TREMONT,Bronx,125,111,1461219.552
1,EAST VILLAGE,Manhattan,202,166,2759407.802
4,ELMHURST,Queens,467,391,1293872.833
5,ELTINGVILLE,Staten Island,288,280,613991.7639
5,EMERSON HILL,Staten Island,14,14,900733.5714
4,FAR ROCKAWAY,Queens,271,252,715120.7454
1,FASHION,Manhattan,137,120,11709008.09
2,FIELDSTON,Bronx,37,27,920241.8919
1,FINANCIAL,Manhattan,223,213,2754381.906
3,FLATBUSH,Brooklyn,414,344,1352622.621
3,EAST FLATBUSH,Brooklyn,550,476,730395.9309
3,FLATBUSH-LEFFERTS GARDEN,Brooklyn,116,98,1223682.802
3,FLATBUSH-NORTH,Brooklyn,223,199,875246.1435
1,FLATIRON,Manhattan,258,184,4066249.453
3,FLATLANDS,Brooklyn,153,100,455189.0588
4,FLORAL PARK,Queens,134,118,668879.2015
4,FLUSHING MEADOWS CORONA PARK,Queens,13,6,425923.0769
4,FLUSHING-NORTH,Queens,1601,1321,994569.5978
4,FLUSHING-SOUTH,Queens,573,380,612618.9703
4,FLUSHING,Queens,1087,850.5,803594.2841
2,FORDHAM,Bronx,65,63,2145002.662
4,FOREST HILLS,Queens,785,342,608451.9936
3,FORT GREENE,Brooklyn,156,117,1643177.378
4,FRESH MEADOWS,Queens,84,74,832296.881
3,GERRITSEN BEACH,Brooklyn,92,84,425389.6413
4,GLEN OAKS,Queens,260,46,428498.1385
4,GLENDALE,Queens,276,226,661131.0942
3,GOWANUS,Brooklyn,75,73,7467823.36
1,GRAMERCY,Manhattan,383,174,1929818.982
5,GRANT CITY,Staten Island,97,86,448589.2268
5,GRASMERE,Staten Island,75,74,625360.3733
3,GRAVESEND,Brooklyn,400,348,881219.5775
5,GREAT KILLS,Staten Island,509,489,537600.6935
5,GREAT KILLS-BAY TERRACE,Staten Island,36,35,541825.5278
3,GREENPOINT,Brooklyn,302,299,2375583.825
1,GREENWICH VILLAGE-CENTRAL,Manhattan,427,187,2936224.944
1,GREENWICH VILLAGE-WEST,Manhattan,481,318,3919945.507
1,GREENWICH VILLAGE,Manhattan,454,252.5,3428085.226
5,GRYMES HILL,Staten Island,48,39,433108.75
4,HAMMELS,Queens,47,46,519441.2553
